ogc_fid,zoning,acres,obb_length_ft,obb_width_ft,fill_ratio,network,streets_across,lots,irregular_lots,lot_width_ft,lot_depth_ft,buildable_depth_ft,streets,courts,pct_row,pct_alleys,pct_lots,pct_residual,pct_hazard,hazard_coverage,du_ac,access_mode,error,generator_version
680043,RS10,3.93,543,397,0.795,spine,1,7,2,85,120,80,1,1,15.4,5,49.9,22.1,0.0,ingested,1.78,both,,subdivision_v1.1
680044,R20,9.72,,,0.642,,,0,,,,,,,,,,,93.6,,,,parcel_mostly_in_flood_hazard_or_wetland,subdivision_v1.1
680053,R80,48.09,2568,1181,0.69,ladder,2,7,1,365,220,180,6,7,14.3,0,28.4,27.7,0.0,ingested,0.15,both,,subdivision_v1.1
680060,AR2A,18.67,1814,919,0.488,ladder,2,0,0,440,200,160,5,0,22.4,0,0,76.5,1.2,ingested,0,both,,subdivision_v1.1
680072,RS20,46.29,2403,1473,0.57,grid,3,28,0,115,175,135,7,5,17.3,3.1,30.8,17.7,32.0,ingested,0.6,end,,subdivision_v1.1
680082,RS10,10.36,,,0.471,,,0,,,,,,,,,,,99.8,,,,parcel_mostly_in_flood_hazard_or_wetland,subdivision_v1.1
680083,R10,17.63,1563,899,0.546,grid,3,33,2,100,105,65,5,5,24.3,5,45.6,18.3,0.0,ingested,1.87,start,,subdivision_v1.1
680084,RS20,9.47,907,536,0.849,spine,1,8,0,115,175,135,2,1,13.9,4.1,47.4,12.9,18.1,ingested,0.84,side,,subdivision_v1.1
680091,AR2A,21.32,1742,754,0.707,ladder,2,0,0,545,160,120,4,2,19.9,0,0,61.4,0.0,ingested,0,both,,subdivision_v1.1
680097,RS80,21.49,1143,968,0.846,ladder,2,1,0,385,210,170,3,3,15.3,0,8.6,48.9,1.9,ingested,0.05,both,,subdivision_v1.1
680100,AR2A,92.44,3587,2037,0.551,grid,5,2,0,500,175,135,10,21,20.9,0,4.3,29.4,0.0,ingested,0.02,both,,subdivision_v1.1
680105,R20,10.33,880,743,0.688,ladder,2,7,0,145,140,100,4,1,25.2,3.1,32.2,28.9,6.5,ingested,0.68,side,,subdivision_v1.1
680112,AR2A,39.97,1631,1438,0.742,grid,3,5,0,415,210,170,5,4,16.8,0,25.3,35.3,3.7,ingested,0.13,both,,subdivision_v1.1
680115,AR2A,35.49,2177,1187,0.598,grid,3,0,0,515,170,130,6,1,20.8,0,0,71.2,3.0,ingested,0,end,,subdivision_v1.1
680123,RS80,54.59,2697,1430,0.617,grid,3,8,0,385,210,170,7,5,17.4,0,27.3,33.5,7.0,ingested,0.15,end,,subdivision_v1.1
680124,RS20,4.64,649,530,0.588,spine,1,0,0,115,175,135,1,0,15.1,0,0,17.6,77.1,ingested,0,both,,subdivision_v1.1
